id,label,longitude,latitude,class_n,start_date,end_date
1,Clear_Cut,-61.27557189,-12.52146724,10,05/01/2022,23/12/2022
2,Clear_Cut,-62.18172117,-9.87829605,10,05/01/2022,23/12/2022
3,Clear_Cut,-63.79384243,-8.725397172,10,05/01/2022,23/12/2022
4,Clear_Cut,-62.04715882,-9.169262791,10,05/01/2022,23/12/2022
5,Clear_Cut,-62.67369604,-11.01375121,10,05/01/2022,23/12/2022
6,Clear_Cut,-61.8960018,-11.29103315,10,05/01/2022,23/12/2022
7,Clear_Cut,-64.06948331,-10.2166752,10,05/01/2022,23/12/2022
9,Clear_Cut,-63.97641555,-10.08569196,10,05/01/2022,23/12/2022
10,Clear_Cut,-62.52153381,-9.154433839,10,05/01/2022,23/12/2022
12,Clear_Cut,-60.85249954,-12.81138664,10,05/01/2022,23/12/2022
14,Clear_Cut,-61.6166457,-12.32295838,10,05/01/2022,23/12/2022
15,Clear_Cut,-62.40085337,-9.773945546,10,05/01/2022,23/12/2022
17,Clear_Cut,-62.40982769,-10.49375571,10,05/01/2022,23/12/2022
18,Clear_Cut,-65.17602603,-10.32526383,10,05/01/2022,23/12/2022
19,Clear_Cut,-61.85313389,-11.0478325,10,05/01/2022,23/12/2022
20,Clear_Cut,-66.36586033,-9.763502839,10,05/01/2022,23/12/2022
21,Clear_Cut,-62.7744308,-10.84041168,10,05/01/2022,23/12/2022
22,Clear_Cut,-61.34048443,-11.16524536,10,05/01/2022,23/12/2022
23,Clear_Cut,-62.07658888,-9.909667044,10,05/01/2022,23/12/2022
24,Clear_Cut,-62.91035985,-9.543612644,10,05/01/2022,23/12/2022
25,Clear_Cut,-61.07322503,-12.45129051,10,05/01/2022,23/12/2022
26,Clear_Cut,-65.0732149,-10.62426242,10,05/01/2022,23/12/2022
27,Clear_Cut,-59.92114371,-12.29926678,10,05/01/2022,23/12/2022
28,Clear_Cut,-62.49545942,-8.956621163,10,05/01/2022,23/12/2022
29,Clear_Cut,-60.42742555,-13.36136282,10,05/01/2022,23/12/2022
30,Clear_Cut,-60.46701717,-12.98796778,10,05/01/2022,23/12/2022
31,Clear_Cut,-61.85659125,-9.553661591,10,05/01/2022,23/12/2022
32,Clear_Cut,-60.72148358,-13.27955598,10,05/01/2022,23/12/2022
33,Clear_Cut,-64.44888749,-9.365912969,10,05/01/2022,23/12/2022
34,Clear_Cut,-65.2417631,-10.11037309,10,05/01/2022,23/12/2022
35,Clear_Cut,-65.01334789,-10.67540844,10,05/01/2022,23/12/2022
37,Clear_Cut,-62.50856415,-10.88200109,10,05/01/2022,23/12/2022
38,Clear_Cut,-62.3069586,-11.74226017,10,05/01/2022,23/12/2022
40,Clear_Cut,-61.35338984,-12.33073033,10,05/01/2022,23/12/2022
41,Clear_Cut,-62.36737489,-10.86411941,10,05/01/2022,23/12/2022
42,Clear_Cut,-63.51740044,-8.920190937,10,05/01/2022,23/12/2022
43,Clear_Cut,-60.23545078,-12.60458863,10,05/01/2022,23/12/2022
45,Clear_Cut,-63.12679184,-9.36741586,10,05/01/2022,23/12/2022
46,Clear_Cut,-61.76003179,-11.34524195,10,05/01/2022,23/12/2022
47,Clear_Cut,-60.58428076,-13.14669402,10,05/01/2022,23/12/2022
49,Clear_Cut,-64.94420058,-10.75729565,10,05/01/2022,23/12/2022
50,Clear_Cut,-64.24631641,-9.555182202,10,05/01/2022,23/12/2022
51,Clear_Cut,-63.23832114,-12.11388127,10,05/01/2022,23/12/2022
52,Clear_Cut,-62.8621387,-11.74243833,10,05/01/2022,23/12/2022
53,Clear_Cut,-63.54694912,-10.02226137,10,05/01/2022,23/12/2022
54,Clear_Cut,-62.53085843,-9.290866376,10,05/01/2022,23/12/2022
55,Clear_Cut,-60.97958977,-11.23935919,10,05/01/2022,23/12/2022
56,Clear_Cut,-65.19418178,-10.33495624,10,05/01/2022,23/12/2022
57,Clear_Cut,-63.8281994,-9.018150088,10,05/01/2022,23/12/2022
59,Clear_Cut,-63.80490768,-9.738257881,10,05/01/2022,23/12/2022
60,Clear_Cut,-62.08831191,-10.0943744,10,05/01/2022,23/12/2022
61,Clear_Cut,-62.54788238,-11.21173607,10,05/01/2022,23/12/2022
63,Clear_Cut,-61.93647868,-10.58085497,10,05/01/2022,23/12/2022
64,Clear_Cut,-63.64622744,-10.24220057,10,05/01/2022,23/12/2022
65,Clear_Cut,-62.32410917,-11.73553087,10,05/01/2022,23/12/2022
68,Clear_Cut,-61.73880248,-11.44349588,10,05/01/2022,23/12/2022
69,Clear_Cut,-64.26382745,-10.03906114,10,05/01/2022,23/12/2022
70,Clear_Cut,-61.3387143,-11.6307104,10,05/01/2022,23/12/2022
71,Clear_Cut,-64.81633861,-10.1613756,10,05/01/2022,23/12/2022
72,Clear_Cut,-66.44686869,-9.58774392,10,05/01/2022,23/12/2022
73,Clear_Cut,-61.86323043,-11.85722405,10,05/01/2022,23/12/2022
74,Clear_Cut,-62.45090599,-10.66005559,10,05/01/2022,23/12/2022
75,Clear_Cut,-60.87257961,-12.93148858,10,05/01/2022,23/12/2022
76,Clear_Cut,-63.2593718,-9.474159159,10,05/01/2022,23/12/2022
77,Clear_Cut,-65.16323948,-10.72474172,10,05/01/2022,23/12/2022
78,Clear_Cut,-61.63281997,-11.33395161,10,05/01/2022,23/12/2022
79,Clear_Cut,-62.51177051,-10.06201241,10,05/01/2022,23/12/2022
80,Clear_Cut,-61.70893713,-10.9520041,10,05/01/2022,23/12/2022
81,Clear_Cut,-62.53584715,-10.99486396,10,05/01/2022,23/12/2022
82,Clear_Cut,-61.78944558,-11.39053128,10,05/01/2022,23/12/2022
83,Clear_Cut,-64.04965276,-9.589727687,10,05/01/2022,23/12/2022
84,Clear_Cut,-62.77370294,-10.84881137,10,05/01/2022,23/12/2022
85,Forest,-63.93829731,-8.798231977,9,05/01/2022,23/12/2022
86,Clear_Cut,-61.46758047,-11.86651427,10,05/01/2022,23/12/2022
89,Clear_Cut,-62.61058231,-10.89149529,10,05/01/2022,23/12/2022
90,Clear_Cut,-62.04614714,-11.31825575,10,05/01/2022,23/12/2022
91,Clear_Cut,-62.70695618,-9.556686394,10,05/01/2022,23/12/2022
93,Clear_Cut,-60.47801227,-13.26857547,10,05/01/2022,23/12/2022
96,Clear_Cut,-62.13956399,-11.64761817,10,05/01/2022,23/12/2022
98,Clear_Cut,-63.03664468,-10.07865762,10,05/01/2022,23/12/2022
99,Clear_Cut,-63.87790251,-12.03421207,10,05/01/2022,23/12/2022
100,Clear_Cut,-61.47140141,-12.73612103,10,05/01/2022,23/12/2022
101,Clear_Cut,-62.77588653,-11.15675475,10,05/01/2022,23/12/2022
102,Clear_Cut,-65.22497505,-10.65359196,10,05/01/2022,23/12/2022
103,Clear_Cut,-62.16389792,-10.68460938,10,05/01/2022,23/12/2022
104,Clear_Cut,-60.44416648,-13.3027551,10,05/01/2022,23/12/2022
106,Clear_Cut,-61.97694198,-11.40691661,10,05/01/2022,23/12/2022
108,Clear_Cut,-63.42532534,-12.20276636,10,05/01/2022,23/12/2022
110,Clear_Cut,-63.48683005,-11.97875259,10,05/01/2022,23/12/2022
111,Clear_Cut,-62.66343117,-9.762289191,10,05/01/2022,23/12/2022
112,Clear_Cut,-63.50812015,-8.985080598,10,05/01/2022,23/12/2022
113,Clear_Cut,-60.90799935,-13.40544203,10,05/01/2022,23/12/2022
115,Clear_Cut,-63.86714025,-11.96255372,10,05/01/2022,23/12/2022
